,,,EGM,pCO2,,,total alkalinity [µmol/l],,,GC raw data,,,,Atm press Lab,,CO2 GC,
lake,site,date,ppm,µatm,temp water,pH,measured,used,,ppmv,µatm,HS.ratio,HS.pCO2.before,mbar,kPa,ppm,µatm
Parker,C,1/7/16,564,555,24.6,7.94,789,789,,506,498,2,391.5,997,100,631,621
Parker,C,1/7/16,508,500,24.3,7.95,,789,,496,488,2,391.5,997,100,679,669
Parker,C,1/7/16,884,870,22.4,7.86,,789,,601,591,2,391.5,997,100,1019,1003
Parker,C,1/7/16,4147,4081,15.5,7.11,,789,,1949,1918,2,391.5,997,100,4502,4430
Parker,C,1/7/16,6009,5912,11.1,6.82,,789,,2896,2849,2,391.5,997,100,5906,5811
Parker,C,1/7/16,6853,6743,8.5,6.63,,789,,3388,3334,2,391.5,997,100,6520,6416
Parker,C,1/7/16,5595,5505,7.6,6.66,,789,,2967,2919,2,391.5,997,100,5440,5353
Parker,C,1/7/16,4618,4544,7.1,6.84,,789,,2455,2415,2,391.5,997,100,4491,4419
Waterloo,C,4/7/16,666,655,24.6,7.91,935,935,,512,504,0.711711711711712,395,997,100,623,613
Waterloo,C,4/7/16,537,528,21.9,7.77,,935,,498,490,2,395,997,100,667,656
Waterloo,C,4/7/16,553,544,21.8,7.78,,935,,503,495,2,395,997,100,655,644
Waterloo,C,4/7/16,527,519,21.8,7.78,,935,,470,462,2,395,997,100,522,513
Waterloo,C,4/7/16,518,510,21.8,7.76,,935,,495,487,2,395,997,100,655,644
Waterloo,C,4/7/16,513,505,21.8,7.78,,935,,491,483,2,395,997,100,629,619
Waterloo,C,4/7/16,551,542,21.8,7.74,,935,,517,509,2,395,997,100,709,697
Waterloo,C,4/7/16,991,975,21.6,7.5,,935,,635,625,2,395,997,100,1061,1044
Leclerc,C,6/7/16,1142,1123,25.8,7.64,614,614,,659,648,0.711711711711712,385.4,997,100,898,883
Leclerc,C,6/7/16,1210,1191,23.0,7.26,665,665,,739,727,2,385.4,997,100,1466,1442
Leclerc,C,6/7/16,1306,1285,20.8,7.4,670,670,,774,761,2,385.4,997,100,1471,1448
Memphrémagog,C,7/7/16,354,349,23.2,8.17,1212,1212,,445,438,2,402,997,100,459,451
Memphrémagog,C,7/7/16,325,320,22.9,8.2,,1212,,401,394,2,402,997,100,341,336
Memphrémagog,C,7/7/16,313,308,22.8,8.2,,1212,,409,403,2,402,997,100,363,357
Memphrémagog,C,7/7/16,308,303,22.8,8.19,,1212,,394,388,2,402,997,100,333,328
Memphrémagog,C,7/7/16,289,284,20.8,8.18,,1212,,375,369,2,402,997,100,276,272
Memphrémagog,C,7/7/16,300,295,20.7,8.17,,1212,,396,390,2,402,997,100,323,318
